player_id,player_name,trips,trip_ftm,trip_fta,technical_ftm,technical_fta,n_shootingFoul2,n_shootingFoul3,n_bonus,n_andOne,n_flagrant,n_awayFromPlay,n_transitionTake,n_clearPath
203507,G. Antetokounmpo,444,514,782,0,0,271,1,65,105,1,1,0,0
1628983,S. Gilgeous-Alexander,350,545,621,22,28,198,0,73,74,0,3,2,0
201942,D. DeRozan,330,505,589,17,23,203,3,50,71,0,1,2,0
1629029,L. Dončić,334,463,589,15,19,204,1,48,78,1,0,2,0
1631094,P. Banchero,301,402,553,3,6,215,3,32,51,0,0,0,0
1630162,A. Edwards,284,420,499,3,7,166,5,38,69,0,0,5,1
203076,A. Davis,279,405,497,16,19,161,1,53,60,2,2,0,0
1629627,Z. Williamson,287,347,494,0,0,192,0,14,79,1,0,0,1
203081,D. Lillard,246,442,477,31,37,126,24,57,35,0,2,2,0
1628369,J. Tatum,254,392,470,22,27,153,12,37,44,2,0,6,0
1628973,J. Brunson,269,391,459,30,38,127,10,39,86,2,3,2,0
203954,J. Embiid,236,388,439,11,13,161,3,35,35,1,0,1,0
203999,N. Jokić,246,354,433,4,5,121,1,63,59,1,0,1,0
202710,J. Butler III,239,368,430,26,29,159,0,31,46,0,1,1,1
1628368,D. Fox,230,311,420,1,3,137,5,40,45,2,0,1,0
1626164,D. Booker,223,371,417,34,40,120,15,44,39,0,3,2,0
1628991,J. Jackson Jr.,231,336,415,1,2,143,3,34,50,1,0,0,0
1627734,D. Sabonis,237,292,415,0,0,154,0,21,57,3,2,0,0
201142,K. Durant,226,349,408,13,15,129,5,41,46,1,2,2,0
2544,L. James,237,302,402,1,2,141,2,17,74,1,0,0,2
1627783,P. Siakam,230,290,396,0,0,143,1,19,65,1,0,0,1
203497,R. Gobert,216,249,390,0,0,124,0,49,42,1,0,0,0
1629027,T. Young,207,333,389,15,18,92,9,72,30,0,2,2,0
1628389,B. Adebayo,211,292,387,0,0,144,0,32,35,0,0,0,0
1629012,C. Sexton,199,307,357,11,13,118,1,37,42,0,0,0,1
1641705,V. Wembanyama,197,283,354,9,13,123,5,24,45,0,0,0,0
1630578,A. Sengun,195,244,352,0,0,118,1,36,39,1,0,0,0
1630178,T. Maxey,202,304,349,24,29,118,2,22,54,3,1,2,0
1630224,J. Green,193,276,344,7,8,113,4,30,45,1,0,0,0
201935,J. Harden,165,292,331,10,13,75,32,23,33,2,0,0,0
1630560,C. Thomas,176,273,321,13,13,110,10,15,35,2,3,1,0
1626167,M. Turner,181,245,317,0,0,120,0,16,45,0,0,0,0
1628386,J. Allen,173,233,314,0,0,110,0,29,31,2,1,0,0
1630532,F. Wagner,171,262,306,9,13,106,3,22,34,1,3,2,0
201939,S. Curry,168,283,305,16,19,76,11,39,36,0,1,5,0
1631093,J. Ivey,167,227,302,0,1,118,2,13,34,0,0,0,0
1630228,J. Kuminga,168,223,299,0,0,121,1,8,38,0,0,0,0
1628969,M. Bridges,162,242,298,16,19,90,7,30,30,2,2,1,0
1627759,J. Brown,169,211,298,0,2,103,6,14,46,0,0,0,0
1627742,B. Ingram,159,240,298,6,9,98,6,29,25,0,1,0,0
204001,K. Porziņģis,162,254,295,5,7,99,1,32,27,1,1,1,0
1628378,D. Mitchell,161,255,294,20,24,93,3,35,26,0,2,1,1
203944,J. Randle,163,230,294,6,8,101,0,30,31,0,0,1,0
203924,J. Grant,157,237,294,18,18,100,9,19,27,1,0,1,0
1629628,R. Barrett,159,206,289,2,2,121,1,7,30,0,0,0,0
1626157,K. Towns,162,247,281,8,11,99,0,20,41,0,1,1,0
1631096,C. Holmgren,152,218,274,0,1,103,2,14,31,1,0,1,0
