game_id,player_id,player_name,period,clock,reason,detail
0022400020,203497,R. Gobert,1,PT07M56.00S,unclassifiable,"M=1, causing foul 'Shooting'"
0022400020,203497,R. Gobert,0,,box-mismatch,reconstructed 0/0 != box 1/1
0022400086,1630703,S. Henderson,3,PT00M15.60S,partial-sequence,[1] of 2
0022400086,1630703,S. Henderson,0,,box-mismatch,reconstructed 0/0 != box 0/1
0022400090,1628963,M. Bagley III,4,PT07M53.00S,unclassifiable,"M=2, causing foul None"
0022400090,1628963,M. Bagley III,0,,box-mismatch,reconstructed 3/3 != box 5/5
0022400120,1627736,M. Beasley,3,PT01M37.00S,unclassifiable,"M=1, causing foul 'Shooting'"
0022400120,1627736,M. Beasley,0,,box-mismatch,reconstructed 0/0 != box 0/1
0022400138,1641722,J. Hawkins,2,PT05M13.00S,unclassifiable,"M=3, causing foul None"
0022400138,1641722,J. Hawkins,0,,box-mismatch,reconstructed 4/5 != box 7/8
0022400249,1628960,G. Allen,2,PT11M46.00S,unclassifiable,"M=3, causing foul None"
0022400249,1628960,G. Allen,0,,box-mismatch,reconstructed 2/4 != box 3/7
0022400251,1629599,A. Coffey,4,PT08M32.00S,unclassifiable,"M=1, causing foul 'Shooting'"
0022400251,1629599,A. Coffey,0,,box-mismatch,reconstructed 6/7 != box 7/8
0022400275,1630171,I. Okoro,3,PT05M05.00S,unclassifiable,"M=1, causing foul 'Shooting'"
0022400275,1630171,I. Okoro,0,,box-mismatch,reconstructed 0/0 != box 0/1
0022400303,1628960,G. Allen,4,PT12M00.00S,unclassifiable,"M=2, causing foul None"
0022400303,1628960,G. Allen,0,,box-mismatch,reconstructed 4/4 != box 6/6
0022400458,1626166,C. Payne,3,PT11M31.00S,unclassifiable,"M=2, causing foul None"
0022400458,1626166,C. Payne,0,,box-mismatch,reconstructed 1/2 != box 3/4
0022400512,1626158,R. Holmes,4,PT03M21.00S,unclassifiable,"M=1, causing foul 'Shooting'"
0022400512,1626158,R. Holmes,0,,box-mismatch,reconstructed 0/0 != box 1/1
0022400546,1641729,B. Sensabaugh,4,PT10M50.00S,unclassifiable,"M=1, causing foul 'Shooting'"
0022400546,1641729,B. Sensabaugh,0,,box-mismatch,reconstructed 2/2 != box 3/3
0022400592,1642276,K. Ware,2,PT11M42.00S,unclassifiable,"M=2, causing foul None"
0022400592,1642276,K. Ware,0,,box-mismatch,reconstructed 2/2 != box 4/4
0022400645,1626145,T. Jones,2,PT03M46.00S,unclassifiable,"M=3, causing foul 'Personal'"
0022400645,1626145,T. Jones,0,,box-mismatch,reconstructed 0/0 != box 3/3
0022400876,1630166,D. Avdija,1,PT05M14.00S,unclassifiable,"M=1, causing foul 'Shooting'"
0022400876,1630166,D. Avdija,0,,box-mismatch,reconstructed 3/5 != box 3/6
0022400885,202710,J. Butler III,4,PT03M18.00S,partial-sequence,[1] of 2
0022400885,202710,J. Butler III,0,,box-mismatch,reconstructed 6/8 != box 7/9
0022400999,203500,S. Adams,3,PT01M21.00S,partial-sequence,[1] of 2
0022400999,203500,S. Adams,0,,box-mismatch,reconstructed 0/0 != box 1/1
0022401084,1630568,L. Garza,2,PT08M36.00S,unclassifiable,"M=2, causing foul None"
0022401084,1630568,L. Garza,0,,box-mismatch,reconstructed 0/0 != box 2/2
0022401150,1631232,K. Brooks Jr.,4,PT06M07.00S,mixed-declared-sizes,"[2, 3]"
0022401150,1631232,K. Brooks Jr.,0,,box-mismatch,reconstructed 3/3 != box 5/5
0022401206,1627751,J. Poeltl,3,PT09M04.00S,unclassifiable,"M=1, causing foul 'Shooting'"
0022401206,1627751,J. Poeltl,0,,box-mismatch,reconstructed 2/2 != box 2/3
