game_id,player_id,player_name,team_id,team_tricode,period,clock,trip_class,tier,ftm,fta,and_one_shot_id
0022400001,203991,C. Capela,1610612737,ATL,1,PT10M24.00S,shootingFoul2,attemptEquivalent,0,2,
0022400001,1627759,J. Brown,1610612738,BOS,1,PT09M11.00S,shootingFoul2,attemptEquivalent,1,2,
0022400001,1642258,Z. Risacher,1610612737,ATL,1,PT07M36.00S,shootingFoul2,attemptEquivalent,0,2,
0022400001,201950,J. Holiday,1610612738,BOS,1,PT05M57.00S,shootingFoul2,attemptEquivalent,2,2,
0022400001,1627759,J. Brown,1610612738,BOS,1,PT04M51.00S,shootingFoul2,attemptEquivalent,2,2,
0022400001,1630700,D. Daniels,1610612737,ATL,1,PT04M39.00S,andOne,addOn,1,1,118
0022400001,1628369,J. Tatum,1610612738,BOS,1,PT03M44.00S,bonus,attemptEquivalent,2,2,
0022400001,1628369,J. Tatum,1610612738,BOS,1,PT02M54.00S,andOne,addOn,1,1,142
0022400001,1629726,G. Mathews,1610612737,ATL,1,PT00M26.30S,shootingFoul2,attemptEquivalent,2,2,
0022400001,1628401,D. White,1610612738,BOS,2,PT08M31.00S,shootingFoul2,attemptEquivalent,2,2,
0022400001,203991,C. Capela,1610612737,ATL,2,PT02M31.00S,shootingFoul2,attemptEquivalent,2,2,
0022400001,201950,J. Holiday,1610612738,BOS,2,PT01M54.00S,shootingFoul2,attemptEquivalent,2,2,
0022400001,1630700,D. Daniels,1610612737,ATL,2,PT01M22.00S,shootingFoul2,attemptEquivalent,0,2,
0022400001,1627759,J. Brown,1610612738,BOS,2,PT00M00.40S,shootingFoul2,attemptEquivalent,2,2,
0022400001,1628369,J. Tatum,1610612738,BOS,3,PT09M57.00S,shootingFoul3,attemptEquivalent,3,3,
0022400001,1628401,D. White,1610612738,BOS,3,PT01M32.00S,shootingFoul3,attemptEquivalent,2,3,
0022400001,1628369,J. Tatum,1610612738,BOS,4,PT07M06.00S,shootingFoul2,attemptEquivalent,2,2,
0022400001,1627759,J. Brown,1610612738,BOS,4,PT03M05.00S,shootingFoul2,attemptEquivalent,1,2,
0022400001,1630700,D. Daniels,1610612737,ATL,4,PT02M54.00S,shootingFoul2,attemptEquivalent,2,2,
0022400001,1627759,J. Brown,1610612738,BOS,4,PT02M34.00S,shootingFoul2,attemptEquivalent,0,2,
0022400002,1630595,C. Cunningham,1610612765,DET,1,PT09M51.00S,shootingFoul2,attemptEquivalent,2,2,
0022400002,203501,T. Hardaway Jr.,1610612765,DET,1,PT08M22.00S,shootingFoul2,attemptEquivalent,2,2,
0022400002,203501,T. Hardaway Jr.,1610612765,DET,1,PT04M39.00S,bonus,attemptEquivalent,2,2,
