player_id,player_name,trips,trip_ftm,trip_fta,technical_ftm,technical_fta,n_shootingFoul2,n_shootingFoul3,n_bonus,n_andOne,n_flagrant,n_awayFromPlay,n_transitionTake,n_clearPath
1628983,S. Gilgeous-Alexander,322,520,590,20,24,202,11,43,61,0,3,1,1
1628378,D. Mitchell,220,360,411,12,19,115,12,50,40,1,2,0,0
201942,D. DeRozan,221,342,395,22,25,146,4,20,47,1,1,2,0
1641718,K. George,198,329,368,8,10,123,11,23,36,2,3,0,0
1628374,L. Markkanen,144,229,255,11,13,75,4,29,33,0,2,1,0
1630596,E. Mobley,145,152,251,0,0,96,0,10,39,0,0,0,0
1631096,C. Holmgren,132,192,246,1,2,88,0,24,18,2,0,0,0
1628386,J. Allen,114,153,215,0,0,79,0,22,12,0,1,0,0
1642271,K. Filipowski,113,159,212,0,0,79,2,13,17,2,0,0,0
1642268,I. Collier,115,151,209,0,0,79,0,15,20,0,0,1,0
1641729,B. Sensabaugh,107,161,193,5,8,69,4,6,26,2,0,0,0
201935,J. Harden,90,159,186,4,4,52,16,10,10,1,1,0,0
1642860,W. Riley,93,141,177,3,3,54,8,9,19,3,0,0,0
1641731,B. Coulibaly,96,131,176,1,1,72,0,8,16,0,0,0,0
201566,R. Westbrook,91,122,173,0,0,65,4,8,13,1,0,0,0
203471,D. Schröder,92,140,169,2,3,56,2,17,17,0,0,0,0
1642875,M. Raynaud,91,131,166,1,2,61,0,13,16,1,0,0,0
1642349,A. Mitchell,88,138,157,0,0,55,0,10,17,4,1,1,0
1642259,A. Sarr,82,101,146,0,0,58,0,5,18,1,0,0,0
1630173,P. Achiuwa,77,77,139,0,0,55,0,7,15,0,0,0,0
203897,Z. LaVine,68,116,132,1,2,51,4,5,8,0,0,0,0
1631094,P. Banchero,70,104,131,1,1,55,1,4,10,0,0,0,0
1630166,D. Avdija,71,108,130,3,4,43,1,14,13,0,0,0,0
1642273,K. George,70,103,129,2,2,39,4,12,13,0,2,0,0
1629631,D. Hunter,68,108,123,0,0,35,1,17,13,1,0,1,0
1642262,C. Williams,64,84,118,0,1,45,0,9,10,0,0,0,0
203468,C. McCollum,63,92,114,3,5,29,8,6,18,0,1,1,0
203994,J. Nurkić,62,62,113,0,0,34,0,17,11,0,0,0,0
203944,J. Randle,62,90,113,0,1,38,0,13,10,0,1,0,0
1641774,T. Vukcevic,60,86,110,1,1,37,2,8,10,2,1,0,0
1629029,L. Dončić,58,81,103,0,0,35,1,8,14,0,0,0,0
1630551,J. Champagnie,58,80,102,0,0,42,0,2,14,0,0,0,0
1628370,M. Monk,53,88,101,4,4,34,3,8,6,0,0,2,0
1642267,B. Carrington,51,74,101,7,10,18,9,13,7,2,1,1,0
1631114,J. Williams,54,83,99,2,2,41,0,4,8,0,0,1,0
1628963,M. Bagley III,54,70,99,0,0,40,0,5,9,0,0,0,0
203507,G. Antetokounmpo,56,64,98,0,0,36,0,5,14,1,0,0,0
1628389,B. Adebayo,53,79,98,3,3,31,1,12,9,0,0,0,0
1642363,N. Clifford,51,69,96,1,1,41,0,4,6,0,0,0,0
1626164,D. Booker,53,76,94,3,3,29,1,10,11,0,0,2,0
1642269,D. Carter,51,67,94,0,0,35,1,5,9,1,0,0,0
1642281,J. Tyson,54,71,92,0,0,31,0,7,15,0,1,0,0
1630162,A. Edwards,49,71,92,4,5,35,2,4,7,0,0,1,0
1628392,I. Hartenstein,52,57,91,0,0,35,0,3,13,1,0,0,0
1627759,J. Brown,50,77,91,1,1,30,1,9,10,0,0,0,0
1630578,A. Sengun,50,65,88,0,0,30,1,5,13,1,0,0,0
1630198,I. Joe,44,79,88,3,3,18,5,11,6,3,0,1,0
1642846,A. Bailey,45,64,86,2,2,32,2,5,6,0,0,0,0
1642848,T. Johnson,43,71,81,5,6,23,1,13,5,1,0,0,0
1642364,J. Watkins,42,56,81,0,0,27,1,8,4,2,0,0,0
203999,N. Jokić,45,63,81,0,0,19,1,13,8,2,2,0,0
201142,K. Durant,40,70,78,4,4,22,3,8,5,1,1,0,0
1629636,D. Garland,41,67,78,1,1,27,1,8,5,0,0,0,0
1628973,J. Brunson,40,66,77,2,3,22,3,8,5,2,0,0,0
1629627,Z. Williamson,47,53,77,0,0,28,0,2,17,0,0,0,0
1642264,S. Castle,40,56,76,0,0,33,0,3,4,0,0,0,0
1627734,D. Sabonis,41,54,73,0,0,23,0,8,9,1,0,0,0
1627750,J. Murray,40,65,73,7,9,22,2,6,8,1,1,0,0
1641764,B. Podziemski,36,57,70,0,0,23,2,6,4,1,0,0,0
203114,K. Middleton,35,60,69,3,5,19,5,5,5,0,1,0,0
1641705,V. Wembanyama,38,57,68,0,1,22,0,8,8,0,0,0,0
2544,L. James,35,54,67,0,0,29,0,3,3,0,0,0,0
1630595,C. Cunningham,37,55,66,2,2,27,0,2,8,0,0,0,0
1631119,J. Williams,35,48,66,0,0,17,2,10,6,0,0,0,0
1628991,J. Jackson Jr.,35,48,65,0,0,24,1,2,6,1,1,0,0
